id,time,y
1,1,1.681366519
1,2,3.185243054
1,3,2.109140592
1,4,0.288903366
1,5,-0.373794775
1,6,-0.629618755
1,7,-0.229189083
1,8,0.291018411
1,9,0.580822546
1,10,0.824686532
2,1,-2.07973876
2,2,-2.667965855
2,3,-0.920013732
2,4,1.202247797
2,5,1.158555617
2,6,0.404431078
2,7,-1.390564947
2,8,-1.544305015
2,9,-3.600114052
2,10,-4.136692378
3,1,5.103693245
3,2,4.797505428
3,3,2.812361228
3,4,2.192719937
3,5,1.258476325
3,6,2.491729984
3,7,2.042368846
3,8,3.204074743
3,9,4.761696726
3,10,3.107146374
4,1,1.994582734
4,2,3.170081957
4,3,2.152144617
4,4,2.191155957
4,5,3.031558724
4,6,2.063030929
4,7,2.713671149
4,8,0.191825547
4,9,0.030114629
4,10,-0.179795705
5,1,2.070705907
5,2,1.901623483
5,3,1.928100559
5,4,0.862979754
5,5,1.242569885
5,6,1.468913025
5,7,1.345054801
5,8,1.770684923
5,9,3.177573667
5,10,0.740475823
6,1,-1.68310503
6,2,-1.699812212
6,3,-1.861794892
6,4,-0.172212454
6,5,-0.182535923
6,6,-1.003486407
6,7,-1.003079711
6,8,-1.961405916
6,9,-3.241459937
6,10,-2.286078195
7,1,1.187324769
7,2,0.521230126
7,3,1.162603379
7,4,-0.405435591
7,5,-2.38431188
7,6,-0.721496139
7,7,-0.115209796
7,8,1.063950937
7,9,1.967521588
7,10,1.402217592
8,1,1.579534061
8,2,1.460628435
8,3,-0.346861357
8,4,-2.345581502
8,5,-2.163676482
8,6,-2.026875606
8,7,-1.809329144
8,8,-0.044042669
8,9,0.27082961
8,10,-0.923980244
9,1,-2.8645198
9,2,-1.465149137
9,3,-0.634918267
9,4,-0.863805515
9,5,0.477520072
9,6,-0.149760076
9,7,-0.258565431
9,8,0.434208197
9,9,-0.006592073
9,10,1.367821435
10,1,4.244771801
10,2,4.028253523
10,3,2.588624893
10,4,-0.911301257
10,5,-1.19981751
10,6,-2.501156911
10,7,-2.100392749
10,8,-0.411494996
10,9,0.877521336
10,10,-0.314296674
11,1,2.347528102
11,2,2.083761845
11,3,1.783212406
11,4,-0.131573684
11,5,-0.226055082
11,6,0.170854165
11,7,0.572344607
11,8,2.61624524
11,9,4.117253642
11,10,3.038457977
12,1,-4.486266491
12,2,-4.565605155
12,3,-3.530655888
12,4,-3.337701109
12,5,-3.278064174
12,6,-3.071119622
12,7,-1.646793996
12,8,-1.515103645
12,9,-1.886766109
12,10,-1.35508001
13,1,0.953685401
13,2,-0.86118675
13,3,-1.217373322
13,4,-2.468616432
13,5,0.916271138
13,6,1.489019059
13,7,0.832062205
13,8,3.16710215
13,9,3.447374573
13,10,1.292181705
14,1,-10.05059274
14,2,-8.806524085
14,3,-6.309801256
