id,time,y
1,1,0.782298772
1,2,2.231299225
1,3,0.676595761
1,4,-1.060111227
1,5,-1.134973082
1,6,-0.898069476
1,7,-0.174528817
1,8,0.387105269
1,9,0.541560451
1,10,0.630808721
2,1,-0.787700109
2,2,-1.398024902
2,3,0.515346502
2,4,2.195932033
2,5,1.294723395
2,6,0.124948283
2,7,-1.651635668
2,8,-1.257670892
2,9,-2.993505486
2,10,-2.753353879
3,1,3.018306113
3,2,2.223703889
3,3,0.08620883
3,4,-0.014064631
3,5,-0.50273194
3,6,1.233582955
3,7,0.665776336
3,8,1.903067835
3,9,3.149970848
3,10,0.872774418
4,1,1.397232573
4,2,2.273032056
4,3,0.752595079
4,4,0.845737803
4,5,1.70150286
4,6,0.488535379
4,7,1.307514095
4,8,-1.325354324
4,9,-0.786022971
4,10,-0.596898894
5,1,1.026688605
5,2,0.75840306
5,3,0.786003302
5,4,-0.286499042
5,5,0.40893656
5,6,0.679325398
5,7,0.509587079
5,8,0.949434622
5,9,2.235743039
5,10,-0.683711591
6,1,-0.491510173
6,2,-0.599083275
6,3,-0.801486759
6,4,0.916480079
6,5,0.41347408
6,6,-0.650720628
6,7,-0.5256509
6,8,-1.421767597
6,9,-2.383219003
6,10,-0.884519747
7,1,0.188254407
7,2,-0.334502485
7,3,0.578368036
7,4,-1.046334276
7,5,-2.583130545
7,6,-0.105611908
7,7,0.409181162
7,8,1.360709354
7,9,1.796715516
7,10,0.726558079
8,1,-0.112416862
8,2,0.140792755
8,3,-1.444967728
8,4,-2.79057628
8,5,-1.68249942
8,6,-1.137184131
8,7,-0.756420724
8,8,1.025210284
8,9,0.818668887
8,10,-0.731309488
9,1,-1.047243784
9,2,0.30284481
9,3,0.688623448
9,4,-0.011559178
9,5,1.162784896
9,6,0.049616314
9,7,-0.113949213
9,8,0.584085936
9,9,-0.061915663
9,10,1.342137262
10,1,1.75444262
10,2,1.509657392
10,3,0.120850771
10,4,-2.921775786
10,5,-1.931664397
10,6,-2.507135102
10,7,-1.353034771
10,8,0.592301818
10,9,1.502868241
10,10,-0.264879622
11,1,1.019641773
11,2,0.71556025
11,3,0.473983055
11,4,-1.321152082
11,5,-0.781372175
11,6,-0.038987857
11,7,0.416167346
11,8,2.366453228
11,9,3.207484064
11,10,1.348397096
12,1,-2.818463671
12,2,-2.385823798
12,3,-1.071083663
12,4,-1.04871823
12,5,-1.132262402
12,6,-1.014799483
12,7,0.302701959
12,8,-0.046317468
12,9,-0.697841927
12,10,-0.194588087
13,1,-0.027526058
13,2,-1.6378981
13,3,-1.347372972
13,4,-2.16840426
13,5,1.806962154
13,6,1.659483226
13,7,0.47058857
13,8,2.736746671
13,9,2.282066189
13,10,-0.324684859
14,1,-5.34168686
14,2,-3.43689332
14,3,-0.983028648
14,4,1.238981221
14,5,1.718390349
14,6,1.319275198
14,7,1.103990312
14,8,-3.430073911
14,9,-5.10638698
14,10,0.310228804
15,1,0.847313643
15,2,0.343171259
15,3,1.111575332
15,4,0.83561324
15,5,0.840338495
15,6,0.257272396
15,7,0.104600638
15,8,-0.551835519
15,9,-1.637968699
15,10,-0.596139426
16,1,-2.319082608
16,2,1.198468057
16,3,1.932591236
16,4,0.598484083
16,5,0.92223247
16,6,-0.278393231
16,7,-0.416280106
16,8,-1.788001926
16,9,-2.213234374
16,10,-2.226025587
17,1,-2.774150558
17,2,0.470188955
17,3,0.237483655
17,4,-0.040227951
17,5,-0.958584053
17,6,-0.171809327
17,7,2.533434795
17,8,2.47742858
17,9,2.052768123
17,10,-0.496565398
18,1,-0.510770348
18,2,1.174510196
18,3,-0.67472083
18,4,0.505013755
18,5,1.269391186
18,6,0.760626253
18,7,0.045124306
18,8,1.297218507
18,9,0.354116857
18,10,0.801579972
19,1,0.073063347
19,2,0.021734229
19,3,-0.285631259
19,4,0.693442879
19,5,0.75720915
19,6,1.468001816
19,7,0.478281128
19,8,0.529893674
19,9,0.043930404
19,10,-0.215351242
20,1,1.43626527
20,2,0.521840247
20,3,0.669382422
20,4,-3.345673909
20,5,-2.536081064
20,6,-2.732605326
20,7,0.143192353
20,8,3.350157864
20,9,5.81746516
20,10,0.965474223
21,1,-1.234566188
21,2,-0.151149828
21,3,0.963862819
21,4,0.732181825
21,5,1.387811408
21,6,1.524563861
21,7,0.293372266
21,8,-0.480090556
21,9,-0.00899481
21,10,-1.733280014
22,1,-3.448668263
22,2,-1.077271338
22,3,0.712436745
22,4,0.928225874
22,5,-0.836400513
22,6,-2.984382915
22,7,-1.363096716
22,8,-2.294145768
22,9,-1.975425688
22,10,0.28841109
23,1,1.48340345
23,2,1.503675445
23,3,-0.732330834
23,4,-1.965628361
23,5,-1.813878535
23,6,-1.734744437
23,7,-0.068701593
23,8,0.867371953
23,9,1.992618923
23,10,-0.974126406
24,1,-0.904842695
24,2,-1.281352639
24,3,-0.915437311
24,4,-0.879103952
24,5,-1.359685466
24,6,-1.002751443
24,7,-2.062322973
24,8,-0.580668758
24,9,-0.091588199
24,10,-1.4939563
25,1,2.251119407
25,2,-0.295473495
25,3,0.662207647
25,4,-0.055697174
25,5,-0.187993071
25,6,0.458164877
25,7,0.146078504
25,8,-0.968495615
25,9,0.857656864
25,10,-0.929233498
26,1,-1.261297372
26,2,-3.566535277
26,3,-1.648459421
26,4,0.685086206
26,5,0.812106022
26,6,0.146225853
26,7,2.079603594
26,8,-0.500480328
26,9,-1.019410306
26,10,-0.53554038
27,1,1.199094948
27,2,-1.458868309
27,3,0.818892836
27,4,1.399311159
27,5,0.216485689
27,6,1.027462138
27,7,2.220074362
27,8,2.600771512
27,9,3.711778566
27,10,1.375884255
28,1,1.534423283
28,2,1.840001528
28,3,0.385024067
28,4,0.834218441
28,5,0.083635941
28,6,0.353621641
28,7,-1.080938637
28,8,1.086761447
